model,MAE,RMSE,R2
baseline,1.4658800000000007,2.0086945134589276,0.9389245229252972
linear_regression,1.2057438899065198,1.5701200639665327,0.9626831645086711
random_forest,1.3841295791204344,1.8011969204224005,0.9508909567891225
lightgbm,1.6431832595526772,2.0801933273298134,0.9344992188629831
keras_nn,54.34573010668945,69.26189101706241,-71.61523893001015
rf_tuned,1.3893184044904359,1.8029599254894189,0.9507947742308661
lgb_tuned,1.6947070385193392,2.1589886322698897,0.9294430510428057
keras_nn,46.1820607623291,54.447128474172324,-43.873406705565
