,MAE,RMSE,R2
baseline,1.4658800000000007,4.034853648399998,0.9389245229252972
linear_regression,1.2057438899065198,2.465277015270269,0.9626831645086711
random_forest,1.384129579120432,3.244310346139128,0.9508909567891226
lightgbm,1.6431832595526772,4.327204279067481,0.9344992188629831
keras_nn,53.460472037841804,4666.678510763929,-69.63939394981378
