symbol,timestamp,open,high,low,close,volume,trade_count,vwap,daily_return,rolling_mean,rolling_std,date,avg_sentiment
AAPL,2022-01-03 05:00:00+00:00,177.83,182.88,177.71,182.01,112486091.0,772699.0,181.395005,,,,2022-01-03,0.11465548340548341
AAPL,2022-01-04 05:00:00+00:00,182.64,182.94,179.12,179.7,106090378.0,831898.0,180.596889,-1.2691610351079574,,,2022-01-04,0.024375901875901874
AAPL,2022-01-05 05:00:00+00:00,179.61,180.17,174.64,174.92,95142198.0,848518.0,177.382297,-2.659988870339458,,,2022-01-05,0.08994588744588744
AAPL,2022-01-06 05:00:00+00:00,172.7,175.3,171.64,172.0,103899632.0,960344.0,173.031383,-1.669334552938484,,,2022-01-06,0.00035714285714285937
AAPL,2022-01-07 05:00:00+00:00,172.89,174.14,171.03,172.17,94554334.0,715419.0,172.441994,0.09883720930232709,176.16,4.514349344036196,2022-01-07,0.079487012987013
AAPL,2022-01-10 05:00:00+00:00,169.08,172.5,168.17,172.19,117005143.0,956342.0,170.377075,0.011616425625837756,174.196,3.3079192855932935,2022-01-10,0.14554676226551225
AAPL,2022-01-11 05:00:00+00:00,172.32,175.18,170.82,175.08,82100070.0,649657.0,173.729019,1.6783785353388758,173.272,1.5801803694515657,2022-01-11,0.09770346320346321
AAPL,2022-01-12 05:00:00+00:00,176.12,177.18,174.82,175.53,79502421.0,642760.0,175.828866,0.25702535983549435,173.394,1.7532911908750675,2022-01-12,0.1666065416065416
AAPL,2022-01-13 05:00:00+00:00,175.79,176.62,171.79,172.19,92057866.0,692346.0,173.88312,-1.9028086367002817,173.432,1.7172128580930555,2022-01-13,0.027800324675324672
AAPL,2022-01-14 05:00:00+00:00,171.34,173.78,171.09,173.07,87780214.0,671723.0,172.42478,0.5110633602415815,173.612,1.594653567393281,2022-01-14,0.0736525974025974
AAPL,2022-01-18 05:00:00+00:00,171.51,172.54,169.405,169.8,102183802.0,780905.0,170.473157,-1.889408909689716,173.134,2.3204805536785074,2022-01-18,0.07527888777888778
AAPL,2022-01-19 05:00:00+00:00,170.0,171.08,165.94,166.23,101688620.0,824027.0,168.242068,-2.102473498233226,171.364,3.5267662241776327,2022-01-19,0.18614718614718614
AAPL,2022-01-20 05:00:00+00:00,166.98,169.68,164.18,164.51,96630645.0,795590.0,167.076081,-1.034710942669792,169.16,3.710997170572912,2022-01-20,0.10562169312169312
AAPL,2022-01-21 05:00:00+00:00,164.415,166.33,162.3,162.41,135494794.0,1076049.0,163.800338,-1.2765181447936258,167.204,4.252585096150362,2022-01-21,0.08158748658748659
